Id,Year,Country,Lane,Integron,Plasmid,Sindh,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,strA__color,strB__color,blaCTXM15__color,qnrS__color,catA1__color,blaTEM1__color,dfrA7__color,sul1__color,sul2__color,Longitude,Latitude,gyrA_S83F,gyrA_S83F__colour,parE_L416F,parE_L416F__colour
10060_5_89_Ban1404_2011,2011,Bangladesh,10060_5_89,no,pHCM2,no,,,,,,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10060_5_90_Ban1499_2011,2011,Bangladesh,10060_5_90,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10060_6_85_IraqH062640481_2006,2006,Iraq,10060_6_85,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10060_6_86_IraqH094620494_2009,2009,Iraq,10060_6_86,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10060_6_87_IraqH083520583_2008,2008,Iraq,10060_6_87,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10060_6_88_IraqH104280445_2010,2010,Iraq,10060_6_88,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10060_6_89_IraqH075080543_2007,2007,Iraq,10060_6_89,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10060_6_90_IraqH094420550_2009,2009,Iraq,10060_6_90,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10060_6_91_IraqH084140247_2008,2008,Iraq,10060_6_91,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10060_6_92_IraqH094320403_2009,2009,Iraq,10060_6_92,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10060_6_93_IraqH084260341_2008,2008,Iraq,10060_6_93,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10071_3_11_BanTY107_2012,2012,Bangladesh,10071_3_11,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10071_3_14_BanTY132_2012,2012,Bangladesh,10071_3_14,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10071_3_19_BanTY585_2012,2012,Bangladesh,10071_3_19,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10071_3_8_BanTY053_2012,2012,Bangladesh,10071_3_8,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10349_1_74_Ind12148_2012,2012,India,10349_1_74,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,78.96288,20.593684,gyrA_S83F,#000000,,#FFFFFF
10492_1_51_BanMDUST259_2010,2010,Bangladesh,10492_1_51,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10492_1_55_BanMDUST270_2011,2011,Bangladesh,10492_1_55,partial,pHCM2,no,,,,,,catA1,dfrA7,sul1,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000,#000000,#FFFFFF,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10492_1_73_IraqMDUST386_2011,2011,Iraq,10492_1_73,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,43.679291,33.223191,gyrA_S83F,#000000,,#FFFFFF
10493_1_19_PakMDUST156_2012,2012,Pakistan,10493_1_19,yes,,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
10493_1_38_PakMDUST207_2010,2010,Pakistan,10493_1_38,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
10493_1_43_BanMDUST232_2010,2010,Bangladesh,10493_1_43,no,pHCM2,no,,,,,,,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10562_2_21_BanMDUST193_2011,2011,Bangladesh,10562_2_21,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10562_2_27_BanMDUST230_2010,2010,Bangladesh,10562_2_27,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10562_2_33_PakMDUST251_2010,2010,Pakistan,10562_2_33,yes,,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
10562_2_37_BanMDUST263_2011,2011,Bangladesh,10562_2_37,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10592_2_78_Ban07-5320_2007,2007,Bangladesh,10592_2_78,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,90.356331,23.684994,gyrA_S83F,#000000,,#FFFFFF
10593_2_80_Pal08-7802_2008,2008,Palestine,10593_2_80,yes,pHCM2,no,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,35.233154,31.950918,gyrA_S83F,#000000,,#FFFFFF
22420_1_1_PakBL55334_2016,2017,Pakistan,22420_1_1,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_10_PakBL60006_2016,2017,Pakistan,22420_1_10,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_100_PakBL8770_2017,2017,Pakistan,22420_1_100,yes,,control,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,parE_L416F,#000000
22420_1_11_PakBL60086_2016,2017,Pakistan,22420_1_11,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_12_PakBL60092_2016,2017,Pakistan,22420_1_12,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_13_PakBL60306_2016,2017,Pakistan,22420_1_13,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_14_PakBL60352_2016,2017,Pakistan,22420_1_14,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_15_PakBL0083_2017,2017,Pakistan,22420_1_15,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_16_PakBL6802_2017,2017,Pakistan,22420_1_16,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_17_PakBL0416_2017,2017,Pakistan,22420_1_17,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_18_PakBL0417_2017,2017,Pakistan,22420_1_18,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_19_PakBL0364_2017,2017,Pakistan,22420_1_19,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_2_PakBL53977_2016,2017,Pakistan,22420_1_2,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_20_PakBL0706_2017,2017,Pakistan,22420_1_20,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_21_PakBL0696_2017,2017,Pakistan,22420_1_21,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_22_PakBL0582_2017,2017,Pakistan,22420_1_22,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_23_PakBL1020_2017,2017,Pakistan,22420_1_23,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_24_PakBL1172_2017,2017,Pakistan,22420_1_24,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_25_PakBL1502_2017,2017,Pakistan,22420_1_25,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_27_PakBL1672_2017,2017,Pakistan,22420_1_27,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_28_PakBL4421_2017,2017,Pakistan,22420_1_28,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_29_PakBL2591_2017,2017,Pakistan,22420_1_29,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_3_PakBL55719_2016,2017,Pakistan,22420_1_3,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_30_PakBL1783_2017,2017,Pakistan,22420_1_30,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_31_PakBL3349_2017,2017,Pakistan,22420_1_31,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_32_PakBL2749_2017,2017,Pakistan,22420_1_32,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_33_PakBL3748_2017,2017,Pakistan,22420_1_33,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_34_PakBL4006_2017,2017,Pakistan,22420_1_34,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_35_PakBL1986_2017,2017,Pakistan,22420_1_35,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_36_PakBL1908_2017,2017,Pakistan,22420_1_36,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_37_PakBL3963_2017,2017,Pakistan,22420_1_37,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_38_PakBL250_2017,2017,Pakistan,22420_1_38,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
