Id,Year,Country,Lane,Integron,Plasmid,Sindh,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,strA__color,strB__color,blaCTXM15__color,qnrS__color,catA1__color,blaTEM1__color,dfrA7__color,sul1__color,sul2__color,Longitude,Latitude,gyrA_S83F,gyrA_S83F__colour,parE_L416F,parE_L416F__colour
22420_1_39_PakBL1352_2017,2017,Pakistan,22420_1_39,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_4_PakBL56360_2016,2017,Pakistan,22420_1_4,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_40_PakBL4108_2017,2017,Pakistan,22420_1_40,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_41_PakBL7563_2017,2017,Pakistan,22420_1_41,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_42_PakBL6072_2017,2017,Pakistan,22420_1_42,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_43_PakBL4714_2017,2017,Pakistan,22420_1_43,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_44_PakBL6578_2017,2017,Pakistan,22420_1_44,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_45_PakBL6048_2017,2017,Pakistan,22420_1_45,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_46_PakBL6628_2017,2017,Pakistan,22420_1_46,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_47_PakBL6547_2017,2017,Pakistan,22420_1_47,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_48_PakBL5726_2017,2017,Pakistan,22420_1_48,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_49_PakBL0037_2017,2017,Pakistan,22420_1_49,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_5_PakBL56690_2016,2017,Pakistan,22420_1_5,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_50_PakBL4590_2017,2017,Pakistan,22420_1_50,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_51_PakBL5339_2017,2017,Pakistan,22420_1_51,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_52_PakBL4016_2017,2017,Pakistan,22420_1_52,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_53_PakBL11167_2017,2017,Pakistan,22420_1_53,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_54_PakBL11560_2017,2017,Pakistan,22420_1_54,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_55_PakBL11570_2017,2017,Pakistan,22420_1_55,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_56_PakBL9487_2017,2017,Pakistan,22420_1_56,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_57_PakBL0034_2017,2017,Pakistan,22420_1_57,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_58_PakBL7882_2017,2017,Pakistan,22420_1_58,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_59_PakBL005_2017,2017,Pakistan,22420_1_59,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_6_PakBL59032_2016,2017,Pakistan,22420_1_6,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_60_PakBL11731_2017,2017,Pakistan,22420_1_60,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_61_PakBL9394_2017,2017,Pakistan,22420_1_61,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_62_PakBL9695_2017,2017,Pakistan,22420_1_62,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_63_PakBL7927_2017,2017,Pakistan,22420_1_63,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_64_PakBL12390_2017,2017,Pakistan,22420_1_64,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_65_PakBL11726_2017,2017,Pakistan,22420_1_65,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_66_PakBL7778_2017,2017,Pakistan,22420_1_66,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_67_PakBL7738_2017,2017,Pakistan,22420_1_67,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_68_PakBL10804_2017,2017,Pakistan,22420_1_68,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#FFFFFF,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_69_PakBL10757_2017,2017,Pakistan,22420_1_69,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_7_PakBL59027_2016,2017,Pakistan,22420_1_7,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_70_PakBL8215_2017,2017,Pakistan,22420_1_70,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_71_PakBL10934_2017,2017,Pakistan,22420_1_71,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_72_PakBL12180_2017,2017,Pakistan,22420_1_72,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_73_PakBL12510_2017,2017,Pakistan,22420_1_73,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_74_PakBL11964_2017,2017,Pakistan,22420_1_74,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_75_PakBL9116_2017,2017,Pakistan,22420_1_75,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_76_PakBL9267_2017,2017,Pakistan,22420_1_76,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_77_PakBL11957_2017,2017,Pakistan,22420_1_77,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_78_PakBL9392_2017,2017,Pakistan,22420_1_78,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_79_PakBL11476_2017,2017,Pakistan,22420_1_79,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_8_PakBL59711_2016,2017,Pakistan,22420_1_8,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_80_PakBL8382_2017,2017,Pakistan,22420_1_80,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_81_PakBL8291_2017,2017,Pakistan,22420_1_81,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_82_PakBL10550_2017,2017,Pakistan,22420_1_82,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_83_PakBL8999_2017,2017,Pakistan,22420_1_83,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_84_PakBL0016_2017,2017,Pakistan,22420_1_84,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_85_PakBL0017_2017,2017,Pakistan,22420_1_85,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_86_PakBL0022_2017,2017,Pakistan,22420_1_86,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_87_PakBL0024_2017,2017,Pakistan,22420_1_87,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_88_PakBL4019_2017,2017,Pakistan,22420_1_88,yes,pHCM2,control,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_89_PakBL56419_2016,2017,Pakistan,22420_1_89,yes,pHCM2,control,strA,strB,,,blaTEM1,catA1,dfrA7,,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#FFFFFF,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_9_PakBL59919_2016,2017,Pakistan,22420_1_9,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_96_PakBL60320_2016,2017,Pakistan,22420_1_96,yes,pHCM2,control,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_99_PakBL60147_2016,2017,Pakistan,22420_1_99,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
SRR6181295,2017,UK,SRR6181295,yes ,IncY,travel,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,-3.435973,55.378051,gyrA_S83F,#000000,,#FFFFFF
